Season|PlayerTeam|GP|W|L|Min|DistFeet|DistMiles|DistMilesOff|DistMilesDef|AvgSpeed|AvgSpeedOff|AvgSpeedDef
2020-21|Aaron Gordon|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Aaron Holiday|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Aaron Nesmith|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Abdel Nader|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Adam Mokoka|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Al Horford|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Al-Farouq Aminu|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Alec Burks|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Aleksej Pokusevski|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Alen Smailagic|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Alex Caruso|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Alex Len|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Alfonzo McKinnie|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Alize Johnson|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Amir Coffey|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Andre Drummond|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Andre Iguodala|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Andre Roberson|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Andrew Wiggins|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Anfernee Simons|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Anthony Davis|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Anthony Edwards|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Anthony Gill|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Anthony Lamb|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Anzejs Pasecniks|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Aron Baynes|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Ashton Hagans|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Austin Rivers|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Avery Bradley|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Axel Toupane|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Bam Adebayo|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Ben McLemore|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Ben Simmons|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Bismack Biyombo|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Blake Griffin|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Boban Marjanovic|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Bobby Portis|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Bogdan Bogdanovic|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Bojan Bogdanovic|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Bol Bol|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Brad Wanamaker|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Bradley Beal|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Brandon Clarke|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Brandon Goodwin|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Brandon Ingram|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Brian Bowen|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Brodric Thomas|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Brook Lopez|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Bruce Brown|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Bruno Caboclo|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Bruno Fernando|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Bryn Forbes|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Buddy Hield|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|CJ Elleby|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|CJ McCollum|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Caleb Martin|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Cam Reddish|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Cameron Johnson|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Cameron Payne|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Caris LeVert|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Carmelo Anthony|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Carsen Edwards|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Cassius Stanley|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Cassius Winston|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Cedi Osman|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Chandler Hutchison|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Chasson Randle|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Chimezie Metu|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Chris Boucher|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Chris Chiozza|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Chris Paul|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Chris Silva|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Christian Wood|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Chuma Okeke|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Clint Capela|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Coby White|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Cody Martin|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Cody Zeller|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Cole Anthony|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Collin Sexton|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Cory Joseph|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Cristiano Felicio|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|D'Angelo Russell|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|D.J. Augustin|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|D.J. Wilson|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|DaQuan Jeffries|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Dakota Mathias|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Damian Jones|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Damian Lillard|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Damion Lee|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Damyean Dotson|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Daniel Gafford|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
2020-21|Daniel Oturu|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68
