Season|PlayerTeam|GP|W|L|Min|DistFeet|DistMiles|DistMilesOff|DistMilesDef|AvgSpeed|AvgSpeedOff|AvgSpeedDef|injuryCntYear
2020-21|Aaron Gordon|25.0|10.0|15.0|29.4|11236.0|2.13|1.19|0.94|4.1|4.5|3.68|3
2020-21|Aaron Holiday|42.0|19.0|23.0|17.6|7257.8|1.37|0.7|0.67|4.35|4.61|4.11|0
2020-21|Aaron Nesmith|23.0|12.0|11.0|15.2|6219.1|1.18|0.61|0.57|4.3|4.47|4.14|0
2020-21|Abdel Nader|24.0|16.0|8.0|14.8|6038.0|1.14|0.62|0.53|4.41|4.75|4.1|3
2020-21|Adam Mokoka|9.0|2.0|7.0|5.2|2104.7|0.4|0.2|0.2|4.29|4.49|4.1|2
2020-21|Al Horford|28.0|11.0|17.0|27.9|10105.0|1.91|1.06|0.85|3.89|4.2|3.57|2
2020-21|Al-Farouq Aminu|17.0|5.0|12.0|21.6|8560.2|1.62|0.9|0.72|4.36|4.73|3.96|1
2020-21|Alec Burks|33.0|17.0|16.0|26.0|9865.6|1.87|0.99|0.88|4.12|4.25|3.98|1
2020-21|Aleksej Pokusevski|25.0|11.0|14.0|21.8|8920.1|1.69|0.92|0.77|4.35|4.8|3.93|0
2020-21|Alen Smailagic|4.0|1.0|3.0|3.9|1503.3|0.28|0.14|0.14|3.95|4.67|3.99|4
2020-21|Alex Caruso|36.0|21.0|15.0|19.9|8142.9|1.54|0.81|0.73|4.32|4.54|4.11|5
2020-21|Alex Len|35.0|11.0|24.0|14.8|5859.3|1.11|0.58|0.53|4.27|4.68|3.91|4
2020-21|Alfonzo McKinnie|25.0|15.0|10.0|5.1|2072.6|0.39|0.21|0.19|4.4|4.4|4.39|2
2020-21|Alize Johnson|1.0|0.0|1.0|33.0|13897.0|2.63|1.35|1.28|4.47|5.19|4.17|0
2020-21|Amir Coffey|28.0|20.0|8.0|8.0|3093.3|0.59|0.31|0.28|4.09|4.2|3.97|0
2020-21|Andre Drummond|25.0|9.0|16.0|28.9|10278.3|1.95|1.02|0.93|3.81|3.94|3.66|3
2020-21|Andre Iguodala|42.0|22.0|20.0|21.2|8297.5|1.57|0.83|0.75|4.13|4.44|3.83|0
2020-21|Andre Roberson|5.0|4.0|1.0|12.6|5244.2|0.99|0.52|0.47|4.53|4.89|4.19|1
2020-21|Andrew Wiggins|46.0|22.0|24.0|32.3|12515.0|2.37|1.24|1.13|4.19|4.61|3.8|1
2020-21|Anfernee Simons|38.0|22.0|16.0|16.9|6763.1|1.28|0.7|0.58|4.35|4.55|4.1|1
2020-21|Anthony Davis|23.0|17.0|6.0|32.8|11404.4|2.16|1.11|1.05|3.7|3.78|3.61|4
2020-21|Anthony Edwards|45.0|11.0|34.0|30.4|11583.1|2.19|1.2|1.0|4.06|4.4|3.71|0
2020-21|Anthony Gill|13.0|3.0|10.0|5.5|2258.6|0.43|0.24|0.19|4.47|4.94|3.84|0
2020-21|Anthony Lamb|7.0|0.0|7.0|15.4|6466.4|1.22|0.68|0.55|4.5|4.92|4.06|0
2020-21|Anzejs Pasecniks|1.0|1.0|0.0|6.3|2586.0|0.49|0.31|0.18|4.44|4.3|4.68|5
2020-21|Aron Baynes|42.0|17.0|25.0|18.6|7107.8|1.35|0.69|0.65|4.09|4.27|3.92|5
2020-21|Ashton Hagans|2.0|0.0|2.0|2.0|954.5|0.18|0.08|0.1|5.27|5.36|5.19|0
2020-21|Austin Rivers|21.0|10.0|11.0|21.1|8131.8|1.54|0.83|0.71|4.1|4.3|3.88|2
2020-21|Avery Bradley|10.0|4.0|6.0|21.1|8642.7|1.64|0.83|0.8|4.35|4.52|4.14|0
2020-21|Axel Toupane|2.0|1.0|1.0|4.8|2256.5|0.43|0.2|0.23|4.99|5.63|4.57|0
2020-21|Bam Adebayo|40.0|18.0|22.0|33.7|12788.1|2.42|1.26|1.16|4.04|4.28|3.82|3
2020-21|Ben McLemore|30.0|9.0|21.0|16.9|6923.6|1.31|0.69|0.62|4.5|4.78|4.22|1
2020-21|Ben Simmons|37.0|27.0|10.0|34.2|13287.6|2.52|1.37|1.15|4.14|4.53|3.76|5
2020-21|Bismack Biyombo|42.0|21.0|21.0|21.8|8378.5|1.59|0.83|0.75|4.11|4.39|3.86|0
2020-21|Blake Griffin|23.0|9.0|14.0|29.6|9727.6|1.84|1.05|0.79|3.62|3.87|3.34|2
2020-21|Boban Marjanovic|20.0|7.0|13.0|7.6|2863.1|0.54|0.28|0.26|3.99|4.15|3.83|0
2020-21|Bobby Portis|43.0|29.0|14.0|21.0|8363.6|1.58|0.84|0.74|4.23|4.57|3.91|0
2020-21|Bogdan Bogdanovic|20.0|13.0|7.0|23.3|9362.5|1.77|0.98|0.79|4.25|4.61|3.85|1
2020-21|Bojan Bogdanovic|44.0|33.0|11.0|30.3|11736.0|2.22|1.2|1.03|4.18|4.51|3.86|1
2020-21|Bol Bol|19.0|12.0|7.0|5.3|2066.8|0.39|0.21|0.18|4.33|4.48|4.17|0
2020-21|Brad Wanamaker|39.0|20.0|19.0|16.0|6249.1|1.18|0.63|0.55|4.23|4.63|3.84|0
2020-21|Bradley Beal|40.0|15.0|25.0|35.8|13736.5|2.6|1.38|1.23|4.18|4.6|3.79|3
2020-21|Brandon Clarke|37.0|20.0|17.0|26.0|10361.8|1.96|1.04|0.92|4.36|4.66|4.06|3
2020-21|Brandon Goodwin|28.0|14.0|14.0|10.7|4280.0|0.81|0.44|0.37|4.3|4.55|4.04|0
2020-21|Brandon Ingram|44.0|19.0|25.0|34.4|13490.5|2.56|1.42|1.13|4.19|4.68|3.71|3
2020-21|Brian Bowen|3.0|1.0|2.0|2.7|1215.7|0.23|0.12|0.11|4.55|5.59|3.65|0
2020-21|Brodric Thomas|10.0|2.0|8.0|8.3|3362.4|0.64|0.34|0.29|4.24|4.61|3.76|0
2020-21|Brook Lopez|44.0|29.0|15.0|27.1|10102.9|1.91|1.0|0.91|4.0|4.4|3.64|2
2020-21|Bruce Brown|42.0|30.0|12.0|21.0|8450.9|1.6|0.83|0.77|4.29|4.56|4.04|4
2020-21|Bruno Caboclo|6.0|1.0|5.0|6.1|2511.5|0.48|0.25|0.22|4.36|4.83|3.66|2
2020-21|Bruno Fernando|22.0|14.0|8.0|7.5|2937.6|0.56|0.31|0.25|4.15|4.38|3.9|3
2020-21|Bryn Forbes|43.0|28.0|15.0|18.9|7798.6|1.48|0.79|0.69|4.39|4.84|3.97|1
2020-21|Buddy Hield|45.0|20.0|25.0|35.0|13811.2|2.62|1.39|1.22|4.29|4.63|3.97|0
2020-21|CJ Elleby|14.0|8.0|6.0|8.3|3438.3|0.65|0.36|0.3|4.38|4.61|4.13|0
2020-21|CJ McCollum|20.0|13.0|7.0|32.5|12840.5|2.43|1.36|1.08|4.23|4.65|3.79|0
2020-21|Caleb Martin|30.0|15.0|15.0|14.2|6213.8|1.18|0.61|0.56|4.62|4.98|4.29|0
2020-21|Cam Reddish|26.0|10.0|16.0|28.9|11792.0|2.23|1.17|1.06|4.35|4.59|4.09|4
2020-21|Cameron Johnson|38.0|26.0|12.0|23.5|9603.5|1.82|1.01|0.81|4.44|4.88|3.99|3
2020-21|Cameron Payne|33.0|22.0|11.0|17.0|6763.1|1.28|0.71|0.57|4.34|4.68|3.97|0
2020-21|Caris LeVert|20.0|11.0|9.0|29.5|11448.3|2.17|1.17|1.0|4.14|4.65|3.65|2
2020-21|Carmelo Anthony|44.0|26.0|18.0|25.9|8664.2|1.64|0.88|0.76|3.63|3.74|3.51|0
2020-21|Carsen Edwards|17.0|8.0|9.0|9.7|3830.7|0.73|0.38|0.34|4.17|4.41|3.93|0
2020-21|Cassius Stanley|12.0|7.0|5.0|2.8|1228.7|0.23|0.13|0.1|4.45|4.91|3.96|0
2020-21|Cassius Winston|9.0|1.0|8.0|6.3|2412.9|0.46|0.25|0.2|4.31|5.09|3.61|0
2020-21|Cedi Osman|44.0|16.0|28.0|25.0|9856.8|1.87|1.02|0.85|4.19|4.5|3.87|0
2020-21|Chandler Hutchison|7.0|2.0|5.0|9.1|3844.1|0.73|0.39|0.34|4.45|4.85|4.07|3
2020-21|Chasson Randle|16.0|5.0|11.0|20.9|8398.1|1.59|0.91|0.68|4.31|4.77|3.84|0
2020-21|Chimezie Metu|13.0|6.0|7.0|7.4|2922.7|0.55|0.29|0.26|4.2|4.54|3.88|0
